place	day	hour	value
AUBER RER A	7	0	70.15686275
AUBER RER A	4	0	106.5434783
AUBER RER A	1	0	83.50980392
AUBER RER A	2	0	105.4166667
AUBER RER A	3	0	100.04
AUBER RER A	6	0	93.80392157
AUBER RER A	5	0	110.1111111
AUBER RER A	7	1	27.61904762
AUBER RER A	4	1	75.52272727
AUBER RER A	1	1	40.02173913
AUBER RER A	2	1	95.68181818
AUBER RER A	3	1	85.60416667
AUBER RER A	6	1	69.86666667
AUBER RER A	5	1	73.25581395
AUBER RER A	7	10	126.0588235
AUBER RER A	4	10	207
AUBER RER A	1	10	204.1372549
AUBER RER A	2	10	209.2156863
AUBER RER A	3	10	206.6346154
AUBER RER A	6	10	146.2941176
AUBER RER A	5	10	214.5769231
AUBER RER A	7	11	131.7058824
AUBER RER A	4	11	189.4117647
AUBER RER A	1	11	169.5882353
AUBER RER A	2	11	195.5294118
AUBER RER A	3	11	194.3076923
AUBER RER A	6	11	152.7843137
AUBER RER A	5	11	203.0196078
AUBER RER A	7	12	139.4901961
AUBER RER A	4	12	186.08
AUBER RER A	1	12	178.254902
AUBER RER A	2	12	185.42
AUBER RER A	3	12	192.0588235
AUBER RER A	6	12	156.1764706
AUBER RER A	5	12	186.02
AUBER RER A	7	13	139.6862745
AUBER RER A	4	13	186.1960784
AUBER RER A	1	13	194.9411765
AUBER RER A	2	13	186.36
AUBER RER A	3	13	188.6346154
AUBER RER A	6	13	173.745098
AUBER RER A	5	13	191.1
AUBER RER A	7	14	145.1960784
AUBER RER A	4	14	200.5098039
AUBER RER A	1	14	203.745098
AUBER RER A	2	14	204.8823529
AUBER RER A	3	14	204.8867925
AUBER RER A	6	14	192.6862745
AUBER RER A	5	14	219.4807692
AUBER RER A	7	15	142.9607843
AUBER RER A	4	15	276.4313725
AUBER RER A	1	15	258.5294118
AUBER RER A	2	15	277.5490196
AUBER RER A	3	15	287.6037736
AUBER RER A	6	15	185.1568627
AUBER RER A	5	15	272.8653846
AUBER RER A	7	16	152.8431373
AUBER RER A	4	16	321.4117647
AUBER RER A	1	16	344
AUBER RER A	2	16	352.0392157
AUBER RER A	3	16	349.0188679
AUBER RER A	6	16	186.1568627
AUBER RER A	5	16	326.3076923
AUBER RER A	7	17	158.0784314
AUBER RER A	4	17	346
AUBER RER A	1	17	362.1372549
AUBER RER A	2	17	352.8431373
AUBER RER A	3	17	369.7735849
AUBER RER A	6	17	171.3529412
AUBER RER A	5	17	345.5576923
AUBER RER A	7	18	167.9411765
AUBER RER A	4	18	302.7254902
AUBER RER A	1	18	314.372549
AUBER RER A	2	18	310.8627451
AUBER RER A	3	18	325.754717
AUBER RER A	6	18	168.9215686
AUBER RER A	5	18	310.6923077
AUBER RER A	7	19	133.0588235
AUBER RER A	4	19	216.8039216
AUBER RER A	1	19	228.745098
AUBER RER A	2	19	234.3529412
AUBER RER A	3	19	226.0943396
AUBER RER A	6	19	148.5294118
AUBER RER A	5	19	228.8269231
AUBER RER A	7	2	19.56410256
AUBER RER A	4	2	58.72727273
AUBER RER A	1	2	32.25581395
AUBER RER A	2	2	51.52272727
AUBER RER A	3	2	63.14
AUBER RER A	6	2	37.97916667
AUBER RER A	5	2	47.2826087
AUBER RER A	7	20	124.2941176
AUBER RER A	4	20	179.4901961
AUBER RER A	1	20	182.372549
AUBER RER A	2	20	188.5490196
AUBER RER A	3	20	180.5849057
AUBER RER A	6	20	136.3529412
AUBER RER A	5	20	182.7307692
AUBER RER A	7	21	124.1372549
AUBER RER A	4	21	147.1372549
AUBER RER A	1	21	146.3137255
AUBER RER A	2	21	157.2156863
AUBER RER A	3	21	136.4716981
AUBER RER A	6	21	135.6862745
AUBER RER A	5	21	157.0576923
AUBER RER A	7	22	133.4705882
AUBER RER A	4	22	140.5102041
AUBER RER A	1	22	129.14
AUBER RER A	2	22	139.2978723
AUBER RER A	3	22	128.8723404
AUBER RER A	6	22	118.5490196
AUBER RER A	5	22	154.6153846
AUBER RER A	7	23	126.1764706
AUBER RER A	4	23	142.72
AUBER RER A	1	23	130.3137255
AUBER RER A	2	23	128.96
AUBER RER A	3	23	137.18
AUBER RER A	6	23	127.74
AUBER RER A	5	23	146.1346154
AUBER RER A	7	3	40.08510638
AUBER RER A	4	3	67.91489362
AUBER RER A	1	3	56.86046512
AUBER RER A	2	3	71.16666667
AUBER RER A	3	3	70.67307692
AUBER RER A	6	3	105.2391304
AUBER RER A	5	3	87.30434783
AUBER RER A	7	4	80.64
AUBER RER A	4	4	117.8958333
AUBER RER A	1	4	108.64
AUBER RER A	2	4	118.5294118
AUBER RER A	3	4	123.5
AUBER RER A	6	4	97.4
AUBER RER A	5	4	124.28
