day	hour	value
1	1	34.72727273
1	10	48.8
1	11	47.41538462
1	12	44.52307692
1	13	44.10606061
1	14	43.37313433
1	15	41.52941176
1	16	41.14492754
1	17	40.5942029
1	18	42.82608696
1	19	45.15942029
1	2	32.49230769
1	20	44.75
1	21	41.73529412
1	22	42.33823529
1	23	41.13043478
1	24	37.36231884
1	3	32.69230769
1	4	35.49230769
1	5	43.4
1	6	47.2
1	7	46.6
1	8	44.72307692
1	9	48.90909091
2	1	31.78873239
2	10	47.81818182
2	11	47.46376812
2	12	45.04347826
2	13	44.71014493
2	14	43.92857143
2	15	44.55714286
2	16	41.16901408
2	17	41.63380282
2	18	43.46478873
2	19	44.09859155
2	2	30.09859155
2	20	42.8028169
2	21	39.87323944
2	22	41.46478873
2	23	39.36619718
2	24	35.70422535
2	3	31.33802817
2	4	34.30985915
2	5	41.68571429
2	6	48.09859155
2	7	45.24285714
2	8	44.05714286
2	9	48.07462687
3	1	33.31944444
3	10	54.85507246
3	11	50.74647887
3	12	50.14084507
3	13	48.1971831
3	14	48.23943662
3	15	46.47887324
3	16	45.18309859
3	17	43.87323944
3	18	44.77464789
3	19	48.22535211
3	2	32.58333333
3	20	46.45714286
3	21	44.17142857
3	22	42.57746479
3	23	40.64285714
3	24	37.62318841
3	3	32.05555556
3	4	35.38888889
3	5	43.23611111
3	6	49.36111111
3	7	48.34722222
3	8	48.20289855
3	9	53.53623188
4	1	33.85915493
4	10	49.10769231
4	11	46.74626866
4	12	43.38235294
4	13	42.42857143
4	14	41.94366197
4	15	40.18571429
4	16	39.05797101
4	17	40.5915493
4	18	44.47887324
4	19	47.12676056
4	2	33.3943662
4	20	48.36619718
4	21	44.78571429
4	22	42.04285714
4	23	41.67605634
4	24	36.33802817
4	3	32.70422535
4	4	37.32394366
4	5	45.45070423
4	6	49.52112676
4	7	45.84507042
4	8	44.7
4	9	48.32835821
5	1	35.28169014
5	10	54.65079365
5	11	50.78125
5	12	47.06153846
5	13	45.55882353
5	14	44.5
5	15	42.08823529
5	16	41.32352941
5	17	42.65217391
5	18	43.98529412
5	19	48.30882353
5	2	34.04225352
5	20	50.57352941
5	21	48.52238806
5	22	47.13432836
5	23	46.59701493
5	24	43.55223881
5	3	34.63380282
5	4	38.43661972
5	5	44.83098592
5	6	51.78873239
5	7	50.5
5	8	50.31428571
5	9	54.10769231
6	1	36.94117647
6	10	42.09090909
6	11	42.24285714
6	12	40.84057971
6	13	40.97101449
6	14	40.07246377
6	15	38.31428571
6	16	38.44285714
6	17	39.07246377
6	18	41.24637681
6	19	42.62318841
6	2	35.08823529
6	20	41.5942029
6	21	40.63768116
6	22	42.44927536
6	23	43.14492754
6	24	39.33333333
6	3	34.80882353
6	4	35.36231884
6	5	38.71014493
6	6	40.42028986
6	7	41.36231884
6	8	42.01428571
6	9	42.49253731
7	1	36.04411765
7	10	40.01470588
7	11	39.97058824
7	12	38.70588235
7	13	38.35294118
7	14	37.51470588
7	15	36.86764706
7	16	36.88235294
7	17	38.10144928
7	18	42.04347826
7	19	45.79710145
7	2	32.77941176
7	20	45.69565217
7	21	42.26086957
7	22	39.75362319
7	23	38.02898551
7	24	33.50724638
7	3	32.29411765
7	4	33.79411765
7	5	35.26470588
7	6	37.97058824
7	7	38.44117647
7	8	37.25373134
7	9	38.80597015
