day	hour	value
1	1	25.40277778
1	10	42.30555556
1	11	39.63888889
1	12	38.41666667
1	13	36.54166667
1	14	35.93055556
1	15	34.5
1	16	34.86111111
1	17	34.70833333
1	18	35.875
1	19	37.875
1	2	24.65277778
1	20	37.5
1	21	35.41666667
1	22	36.19444444
1	23	34.23611111
1	24	31.72222222
1	3	23.91666667
1	4	25.83333333
1	5	31.02777778
1	6	37.11111111
1	7	41.18055556
1	8	42.65714286
1	9	44.24285714
2	1	25.38888889
2	10	43.46478873
2	11	39.90140845
2	12	36.52173913
2	13	36.23880597
2	14	37.46969697
2	15	35.88405797
2	16	35.63380282
2	17	34.67605634
2	18	35.75
2	19	36.68055556
2	2	24.375
2	20	35.625
2	21	33.56944444
2	22	32.86111111
2	23	30.72222222
2	24	28.08333333
2	3	24.73239437
2	4	27.04166667
2	5	33.02777778
2	6	40.36111111
2	7	44.52777778
2	8	44.42857143
2	9	44.64788732
3	1	27.10810811
3	10	47.84722222
3	11	43.13888889
3	12	41.47887324
3	13	41.19444444
3	14	38.80555556
3	15	37.48648649
3	16	36.81081081
3	17	38.97297297
3	18	39.43243243
3	19	40.28378378
3	2	26.43243243
3	20	40.55405405
3	21	38.69863014
3	22	36.66216216
3	23	35
3	24	33.14864865
3	3	25.17567568
3	4	27.51351351
3	5	32.56756757
3	6	39.2972973
3	7	43.98648649
3	8	46.58108108
3	9	48.09722222
4	1	28.2027027
4	10	43.55405405
4	11	39.25675676
4	12	36.7972973
4	13	34.54794521
4	14	34.75342466
4	15	33.95890411
4	16	34.39189189
4	17	34.54054054
4	18	35.79452055
4	19	37.28767123
4	2	27.54054054
4	20	37.7972973
4	21	35.55405405
4	22	33.93243243
4	23	32.98648649
4	24	31.25675676
4	3	26.7027027
4	4	29.7027027
4	5	34.37837838
4	6	41.98648649
4	7	45.10810811
4	8	46.65753425
4	9	46.49315068
5	1	30.37837838
5	10	45.97142857
5	11	43.64285714
5	12	41.38888889
5	13	40.09589041
5	14	37.97260274
5	15	37.10958904
5	16	36.95890411
5	17	36.56164384
5	18	38.61643836
5	19	40.45205479
5	2	29.09459459
5	20	41.61643836
5	21	40.05479452
5	22	38.93150685
5	23	37.28767123
5	24	35.1369863
5	3	28.17567568
5	4	30.43243243
5	5	36.02702703
5	6	43.62162162
5	7	46.7972973
5	8	48.52054795
5	9	50.33333333
6	1	31.63380282
6	10	35.45833333
6	11	34.26388889
6	12	32.47222222
6	13	32.08450704
6	14	30.77464789
6	15	31.45833333
6	16	31.97222222
6	17	33.47222222
6	18	33.45833333
6	19	35.79166667
6	2	30.14084507
6	20	36.30555556
6	21	35.25
6	22	33.80555556
6	23	33.08333333
6	24	31.47887324
6	3	29.18309859
6	4	29.85915493
6	5	33.35714286
6	6	36.28169014
6	7	36.52777778
6	8	36.27777778
6	9	36.01388889
7	1	28.36111111
7	10	34.625
7	11	32.04225352
7	12	31.7826087
7	13	30.12857143
7	14	29.6056338
7	15	29.20833333
7	16	29.95833333
7	17	30.34722222
7	18	32.625
7	19	33.79166667
7	2	27.07042254
7	20	34.16666667
7	21	32.11111111
7	22	32.47222222
7	23	28.125
7	24	25.25
7	3	26.27777778
7	4	26.26388889
7	5	28.70833333
7	6	31.09722222
7	7	32.97222222
7	8	32.77777778
7	9	33.90277778
