day	hour	value
1	1	26.1971831
1	10	38.98529412
1	11	38.32352941
1	12	36
1	13	34.33333333
1	14	34.26388889
1	15	34.15277778
1	16	32.86111111
1	17	32.84722222
1	18	35.05555556
1	19	39.02777778
1	2	26.54929577
1	20	39.77777778
1	21	39.38888889
1	22	38.51388889
1	23	34.18571429
1	24	32.73239437
1	3	26.83098592
1	4	29.8028169
1	5	35.47887324
1	6	38.81690141
1	7	38.64788732
1	8	39.3943662
1	9	41.37142857
2	1	28.16438356
2	10	39.9
2	11	36.38028169
2	12	32.73239437
2	13	32.68571429
2	14	33.98611111
2	15	33.79166667
2	16	32.45833333
2	17	32.09722222
2	18	33.04166667
2	19	35.91666667
2	2	28.1369863
2	20	37.90277778
2	21	36.11111111
2	22	34.05555556
2	23	31.75
2	24	29.97222222
2	3	29.43835616
2	4	33.39726027
2	5	39.1369863
2	6	42.09589041
2	7	43.36986301
2	8	42.60273973
2	9	42.93055556
3	1	28.48
3	10	44.04285714
3	11	42.04225352
3	12	38.92857143
3	13	38.14084507
3	14	38.26388889
3	15	38.54794521
3	16	37.87323944
3	17	37.5
3	18	39.94444444
3	19	42.07042254
3	2	28.77333333
3	20	43
3	21	42.375
3	22	39.72222222
3	23	39.25
3	24	36.36111111
3	3	29.26666667
3	4	32.90540541
3	5	38.44
3	6	42.31081081
3	7	44.09589041
3	8	44.80821918
3	9	45.55555556
4	1	31.81428571
4	10	42.15714286
4	11	39.02816901
4	12	35.42253521
4	13	31.68115942
4	14	30.5915493
4	15	30.89041096
4	16	30.95890411
4	17	31.4109589
4	18	33.22222222
4	19	34.44444444
4	2	30.92957746
4	20	38.22222222
4	21	37.54166667
4	22	36.41666667
4	23	36.04225352
4	24	32.69444444
4	3	32.32394366
4	4	35.04225352
4	5	40.09859155
4	6	44.97183099
4	7	46.81690141
4	8	45.625
4	9	45.81428571
5	1	32.9
5	10	45.35211268
5	11	40.74647887
5	12	38.22535211
5	13	36.02816901
5	14	36.69444444
5	15	36.05555556
5	16	34.01388889
5	17	34.65277778
5	18	34.98611111
5	19	38.59722222
5	2	32.17142857
5	20	41.44444444
5	21	41.3943662
5	22	38.66197183
5	23	37.6056338
5	24	36.11111111
5	3	33.57746479
5	4	36.08450704
5	5	42.4084507
5	6	46.28571429
5	7	46.08571429
5	8	46.31884058
5	9	47.72463768
6	1	32.49315068
6	10	35.29166667
6	11	33.95890411
6	12	32.375
6	13	29.83333333
6	14	29.68055556
6	15	28.65277778
6	16	29.625
6	17	31.05555556
6	18	31.75
6	19	37.02777778
6	2	32.38356164
6	20	38.52777778
6	21	36.87323944
6	22	35.70833333
6	23	34.80555556
6	24	32.45833333
6	3	31.17808219
6	4	32.28767123
6	5	35.05479452
6	6	36.69444444
6	7	36.73972603
6	8	35.5890411
6	9	35.15277778
7	1	28.77142857
7	10	32.05882353
7	11	32.25
7	12	30.83823529
7	13	29.89705882
7	14	28.94117647
7	15	28.48529412
7	16	28.44117647
7	17	28.95652174
7	18	31.10144928
7	19	32.72463768
7	2	28.05714286
7	20	32.8115942
7	21	32.15714286
7	22	32.34285714
7	23	29.56521739
7	24	26.43661972
7	3	28.56521739
7	4	30.11428571
7	5	32.17391304
7	6	33.57971014
7	7	33.51470588
7	8	33.13043478
7	9	32.95652174
