place	day	hour	value
Châtelet L4	7	0	67.42
Châtelet L4	4	0	160.3265306
Châtelet L4	1	0	140.7
Châtelet L4	2	0	131.1836735
Châtelet L4	3	0	223.9
Châtelet L4	6	0	78.04
Châtelet L4	5	0	165.3125
Châtelet L4	7	1	35.04444444
Châtelet L4	4	1	129.22
Châtelet L4	1	1	227.7083333
Châtelet L4	2	1	202.2244898
Châtelet L4	3	1	248.5294118
Châtelet L4	6	1	64.02040816
Châtelet L4	5	1	154.8958333
Châtelet L4	7	10	104.78
Châtelet L4	4	10	198.1960784
Châtelet L4	1	10	188.54
Châtelet L4	2	10	197.4705882
Châtelet L4	3	10	194.4528302
Châtelet L4	6	10	139.38
Châtelet L4	5	10	200.4042553
Châtelet L4	7	11	106.54
Châtelet L4	4	11	257.7647059
Châtelet L4	1	11	171.28
Châtelet L4	2	11	175.5769231
Châtelet L4	3	11	177.1730769
Châtelet L4	6	11	146.54
Châtelet L4	5	11	182.8367347
Châtelet L4	7	12	109.12
Châtelet L4	4	12	175.6862745
Châtelet L4	1	12	167.9
Châtelet L4	2	12	175.4313725
Châtelet L4	3	12	177.0192308
Châtelet L4	6	12	158.44
Châtelet L4	5	12	176.12
Châtelet L4	7	13	123.42
Châtelet L4	4	13	186.78
Châtelet L4	1	13	185.56
Châtelet L4	2	13	191.1372549
Châtelet L4	3	13	190.25
Châtelet L4	6	13	168.48
Châtelet L4	5	13	184.4509804
Châtelet L4	7	14	143.3
Châtelet L4	4	14	197.5294118
Châtelet L4	1	14	194.1
Châtelet L4	2	14	200.7843137
Châtelet L4	3	14	203.0754717
Châtelet L4	6	14	174.26
Châtelet L4	5	14	199.8823529
Châtelet L4	7	15	149.8
Châtelet L4	4	15	212.9411765
Châtelet L4	1	15	208.08
Châtelet L4	2	15	209.4807692
Châtelet L4	3	15	214.4339623
Châtelet L4	6	15	178.94
Châtelet L4	5	15	211.8823529
Châtelet L4	7	16	151.58
Châtelet L4	4	16	207.0392157
Châtelet L4	1	16	203.82
Châtelet L4	2	16	209.8461538
Châtelet L4	3	16	208.8867925
Châtelet L4	6	16	175.88
Châtelet L4	5	16	209.4705882
Châtelet L4	7	17	149.94
Châtelet L4	4	17	202.9215686
Châtelet L4	1	17	195.72
Châtelet L4	2	17	197.6153846
Châtelet L4	3	17	200.3018868
Châtelet L4	6	17	176.74
Châtelet L4	5	17	203.8235294
Châtelet L4	7	18	141.62
Châtelet L4	4	18	187.0392157
Châtelet L4	1	18	179.18
Châtelet L4	2	18	182.7115385
Châtelet L4	3	18	184.6226415
Châtelet L4	6	18	166.12
Châtelet L4	5	18	195.52
Châtelet L4	7	19	125.94
Châtelet L4	4	19	153.3137255
Châtelet L4	1	19	151.8
Châtelet L4	2	19	153.2307692
Châtelet L4	3	19	152.8490566
Châtelet L4	6	19	146.76
Châtelet L4	5	19	169.48
Châtelet L4	7	2	18.36111111
Châtelet L4	4	2	90.22916667
Châtelet L4	1	2	235.0930233
Châtelet L4	2	2	138.2244898
Châtelet L4	3	2	201.0784314
Châtelet L4	6	2	33.97826087
Châtelet L4	5	2	107.6
Châtelet L4	7	20	111.64
Châtelet L4	4	20	129.4901961
Châtelet L4	1	20	123.1
Châtelet L4	2	20	122.6346154
Châtelet L4	3	20	124.8113208
Châtelet L4	6	20	124.6
Châtelet L4	5	20	139.58
Châtelet L4	7	21	102.32
Châtelet L4	4	21	120.254902
Châtelet L4	1	21	113.96
Châtelet L4	2	21	111.4230769
Châtelet L4	3	21	114.7358491
Châtelet L4	6	21	114.44
Châtelet L4	5	21	122.04
Châtelet L4	7	22	100.9
Châtelet L4	4	22	114.877551
Châtelet L4	1	22	108.4489796
Châtelet L4	2	22	106.7083333
Châtelet L4	3	22	107.4468085
Châtelet L4	6	22	107.42
Châtelet L4	5	22	113.84
Châtelet L4	7	23	106.08
Châtelet L4	4	23	115.66
Châtelet L4	1	23	114.3
Châtelet L4	2	23	132.8846154
Châtelet L4	3	23	119.5882353
Châtelet L4	6	23	96.52
Châtelet L4	5	23	103.68
Châtelet L4	7	3	17.61538462
Châtelet L4	4	3	60.71428571
Châtelet L4	1	3	146.4468085
Châtelet L4	2	3	64.25
Châtelet L4	3	3	70.94339623
Châtelet L4	6	3	24.27906977
Châtelet L4	5	3	55.87755102
Châtelet L4	7	4	43.53191489
Châtelet L4	4	4	81.1
Châtelet L4	1	4	93.55319149
Châtelet L4	2	4	69.65306122
Châtelet L4	3	4	80.88
Châtelet L4	6	4	54.0212766
Châtelet L4	5	4	74.72
Châtelet L4	7	5	64.54
Châtelet L4	4	5	126.6078431
Châtelet L4	1	5	120.6
Châtelet L4	2	5	121.14
Châtelet L4	3	5	129.6792453
Châtelet L4	6	5	88.4
Châtelet L4	5	5	125.4117647
Châtelet L4	7	6	73.36
Châtelet L4	4	6	171.9411765
Châtelet L4	1	6	168.4
Châtelet L4	2	6	172.32
Châtelet L4	3	6	181.7169811
Châtelet L4	6	6	107.82
Châtelet L4	5	6	177.8039216
Châtelet L4	7	7	88.1
Châtelet L4	4	7	224.0392157
Châtelet L4	1	7	221.84
Châtelet L4	2	7	226.32
Châtelet L4	3	7	228.0188679
Châtelet L4	6	7	126.44
Châtelet L4	5	7	230.0196078
Châtelet L4	7	8	100.02
Châtelet L4	4	8	228.1960784
Châtelet L4	1	8	224.86
Châtelet L4	2	8	241.94
Châtelet L4	3	8	230.8301887
Châtelet L4	6	8	137.7
Châtelet L4	5	8	232.0588235
Châtelet L4	7	9	102.86
Châtelet L4	4	9	215.745098
Châtelet L4	1	9	207.72
Châtelet L4	2	9	211.86
Châtelet L4	3	9	211.3018868
Châtelet L4	6	9	139.78
Châtelet L4	5	9	222.1960784
