day	hour	value
1	1	18.07142857
1	10	26.14705882
1	11	24.56716418
1	12	22.57352941
1	13	21.52173913
1	14	20
1	15	19.21428571
1	16	20.01428571
1	17	19.64285714
1	18	20.14285714
1	19	20.66666667
1	2	17.41176471
1	20	20.82857143
1	21	20.51428571
1	22	20.98550725
1	23	20.94202899
1	24	21.17391304
1	3	17.1884058
1	4	17.21428571
1	5	18.11428571
1	6	19.67142857
1	7	22.4
1	8	25.34285714
1	9	26.85714286
2	1	18.48571429
2	10	27.1884058
2	11	24.5
2	12	22.14925373
2	13	21
2	14	20.40298507
2	15	19.48571429
2	16	19.8
2	17	20.54285714
2	18	21.10144928
2	19	20.24637681
2	2	17.98571429
2	20	19.57971014
2	21	19.4057971
2	22	19.50724638
2	23	18.88405797
2	24	19.02857143
2	3	17.48571429
2	4	17.57142857
2	5	18.44285714
2	6	19.60869565
2	7	22.49275362
2	8	25.72463768
2	9	27.47058824
3	1	19.74285714
3	10	29.52238806
3	11	27.66176471
3	12	26.23188406
3	13	25.1641791
3	14	24.05882353
3	15	23.37142857
3	16	22.85915493
3	17	23
3	18	23.59722222
3	19	23.34722222
3	2	18.65714286
3	20	22.85915493
3	21	23.01408451
3	22	22.8028169
3	23	22.43661972
3	24	22.24285714
3	3	18.38571429
3	4	18.45714286
3	5	19.11428571
3	6	20.98571429
3	7	23.91428571
3	8	28.20588235
3	9	30.62686567
4	1	20.93055556
4	10	28.38571429
4	11	26.48571429
4	12	23.66197183
4	13	21.43478261
4	14	19.5
4	15	19.07142857
4	16	18.35211268
4	17	18.61643836
4	18	19.61643836
4	19	20.93150685
4	2	21.01388889
4	20	20.95890411
4	21	21.21917808
4	22	20.98630137
4	23	20.65753425
4	24	20.89041096
4	3	20.34722222
4	4	20.26388889
4	5	20.18055556
4	6	21.73611111
4	7	24.71830986
4	8	27.72857143
4	9	28.84285714
5	1	21.69444444
5	10	28.70422535
5	11	27.48529412
5	12	25.7826087
5	13	23.92857143
5	14	21.53521127
5	15	19.53521127
5	16	19.81690141
5	17	21.13888889
5	18	21.58333333
5	19	21.91666667
5	2	20.83333333
5	20	22.45833333
5	21	23.70422535
5	22	23.91428571
5	23	23.62857143
5	24	22.98571429
5	3	20.22222222
5	4	20.875
5	5	21.16666667
5	6	23.23611111
5	7	26.83333333
5	8	29.26388889
5	9	29.125
6	1	21.84722222
6	10	20.62857143
6	11	19.62857143
6	12	18.72857143
6	13	17.74285714
6	14	17.22857143
6	15	15.87142857
6	16	16.2173913
6	17	16.35714286
6	18	16.6
6	19	17.68571429
6	2	20.77777778
6	20	18.1
6	21	18.78571429
6	22	19.61428571
6	23	19.78571429
6	24	19.35714286
6	3	20.20833333
6	4	19.93055556
6	5	20.125
6	6	20.13888889
6	7	21.15277778
6	8	20.80555556
6	9	21.79166667
7	1	18.65714286
7	10	19.63235294
7	11	19.06060606
7	12	18.59090909
7	13	17.73913043
7	14	16.98550725
7	15	15.61428571
7	16	15.23529412
7	17	15.37681159
7	18	16.12857143
7	19	17.35714286
7	2	17.45714286
7	20	18.5
7	21	18.85714286
7	22	18.67142857
7	23	17.8
7	24	17.2
7	3	17.25714286
7	4	16.95714286
7	5	17.35714286
7	6	18.3
7	7	18.94285714
7	8	20.24285714
7	9	19.76056338
