day	hour	value
1	1	24.88888889
1	10	43.41791045
1	11	42.22727273
1	12	40.19047619
1	13	39.42622951
1	14	39.23333333
1	15	39.50793651
1	16	39.4375
1	17	38.80952381
1	18	39.36507937
1	19	38.578125
1	2	23.375
1	20	36.359375
1	21	34.8
1	22	33.3943662
1	23	33.46478873
1	24	31.875
1	3	22.26760563
1	4	23
1	5	27.44444444
1	6	32.02816901
1	7	37.35211268
1	8	40.27142857
1	9	41.93939394
2	1	26.47222222
2	10	44.41666667
2	11	40.91666667
2	12	40.1875
2	13	39.43548387
2	14	41.04761905
2	15	42.15873016
2	16	40.375
2	17	36.29032258
2	18	35.84375
2	19	36.09375
2	2	24.5
2	20	33.81818182
2	21	32.68115942
2	22	31.17391304
2	23	29.48571429
2	24	27.08571429
2	3	23.52777778
2	4	23.98611111
2	5	27.69444444
2	6	34.67605634
2	7	41.45070423
2	8	43.33333333
2	9	43.18333333
3	1	26.06849315
3	10	47.17391304
3	11	46.54411765
3	12	44.44776119
3	13	44.54545455
3	14	46.64615385
3	15	46.65625
3	16	44.52307692
3	17	44.47058824
3	18	44.89552239
3	19	42.58823529
3	2	25.02777778
3	20	38.72058824
3	21	37.8
3	22	37.14492754
3	23	35.31428571
3	24	32.91549296
3	3	23.56164384
3	4	24.17567568
3	5	27.75675676
3	6	34.61643836
3	7	40.70422535
3	8	45.49295775
3	9	46.1884058
4	1	28.70833333
4	10	41.68656716
4	11	41.22727273
4	12	38.70769231
4	13	39.78461538
4	14	40.43939394
4	15	40.28358209
4	16	41.43939394
4	17	41.30882353
4	18	42.26470588
4	19	42.64285714
4	2	26.23287671
4	20	39.7
4	21	37.24285714
4	22	34.78873239
4	23	33.56338028
4	24	33.25
4	3	24.98630137
4	4	25.40540541
4	5	30.27027027
4	6	36.55405405
4	7	38.51388889
4	8	41.79166667
4	9	44.27536232
5	1	31.54794521
5	10	47.68181818
5	11	45.9375
5	12	43.04615385
5	13	41.0952381
5	14	39.83870968
5	15	42.421875
5	16	44.13846154
5	17	42.74242424
5	18	42.62121212
5	19	41.85294118
5	2	28.8630137
5	20	40.37142857
5	21	39.61428571
5	22	38.57746479
5	23	36.90140845
5	24	36.23611111
5	3	28.89189189
5	4	28.47297297
5	5	31.82432432
5	6	38.31506849
5	7	43.68918919
5	8	46.49315068
5	9	47.5
6	1	31.56944444
6	10	33.765625
6	11	35.828125
6	12	34.6557377
6	13	35.3
6	14	38.13333333
6	15	39.5
6	16	41.33898305
6	17	39.03333333
6	18	38.19672131
6	19	37.87096774
6	2	29.02816901
6	20	37.30769231
6	21	37.07352941
6	22	33.63235294
6	23	32.11594203
6	24	31.27536232
6	3	27.22535211
6	4	26.90277778
6	5	27.97222222
6	6	29.97183099
6	7	30.57746479
6	8	33.57746479
6	9	33.70149254
7	1	31.01428571
7	10	31.70769231
7	11	33.61290323
7	12	34.8
7	13	33.33898305
7	14	35.20338983
7	15	35.59322034
7	16	36.55932203
7	17	35.3220339
7	18	35.66666667
7	19	34.22580645
7	2	29.46478873
7	20	33.4375
7	21	33.2238806
7	22	29.76119403
7	23	28.32857143
7	24	27.18571429
7	3	26.70422535
7	4	25.76056338
7	5	26.45070423
7	6	28.33802817
7	7	29.14084507
7	8	29.67647059
7	9	30.95522388
