place	day	hour	value
Franklin L1	7	0	28.55769231
Franklin L1	4	0	39.05769231
Franklin L1	1	0	37.73076923
Franklin L1	2	0	34.70588235
Franklin L1	3	0	35.77083333
Franklin L1	6	0	29.30769231
Franklin L1	5	0	31.49019608
Franklin L1	7	1	23.65384615
Franklin L1	4	1	29.52941176
Franklin L1	1	1	35.80392157
Franklin L1	2	1	29.1372549
Franklin L1	3	1	31.29166667
Franklin L1	6	1	25.19230769
Franklin L1	5	1	26.93877551
Franklin L1	7	10	24.26923077
Franklin L1	4	10	40.98039216
Franklin L1	1	10	37.78846154
Franklin L1	2	10	37.28846154
Franklin L1	3	10	39.78846154
Franklin L1	6	10	25.94230769
Franklin L1	5	10	40.84313725
Franklin L1	7	11	24.39215686
Franklin L1	4	11	37.43137255
Franklin L1	1	11	34.51923077
Franklin L1	2	11	34.92307692
Franklin L1	3	11	44.37735849
Franklin L1	6	11	26.75
Franklin L1	5	11	37.52941176
Franklin L1	7	12	25.76923077
Franklin L1	4	12	37.12244898
Franklin L1	1	12	35.07692308
Franklin L1	2	12	36.05769231
Franklin L1	3	12	39.54716981
Franklin L1	6	12	28.59615385
Franklin L1	5	12	39.60784314
Franklin L1	7	13	30.53846154
Franklin L1	4	13	37.98
Franklin L1	1	13	38.62745098
Franklin L1	2	13	37.60784314
Franklin L1	3	13	39.46153846
Franklin L1	6	13	30.96153846
Franklin L1	5	13	38.78
Franklin L1	7	14	30.54901961
Franklin L1	4	14	44.88235294
Franklin L1	1	14	40.59615385
Franklin L1	2	14	42.01923077
Franklin L1	3	14	41.71698113
Franklin L1	6	14	33.80769231
Franklin L1	5	14	43.94
Franklin L1	7	15	30.88461538
Franklin L1	4	15	52.01960784
Franklin L1	1	15	49.01923077
Franklin L1	2	15	50.90384615
Franklin L1	3	15	50.0754717
Franklin L1	6	15	37.25
Franklin L1	5	15	52.30769231
Franklin L1	7	16	32.8627451
Franklin L1	4	16	58.29411765
Franklin L1	1	16	52.26923077
Franklin L1	2	16	53.92307692
Franklin L1	3	16	55.43396226
Franklin L1	6	16	39.65384615
Franklin L1	5	16	53.09615385
Franklin L1	7	17	33.44230769
Franklin L1	4	17	59.96078431
Franklin L1	1	17	52.15384615
Franklin L1	2	17	54.38461538
Franklin L1	3	17	53.86792453
Franklin L1	6	17	38.78846154
Franklin L1	5	17	53.09615385
Franklin L1	7	18	35.01923077
Franklin L1	4	18	53.56862745
Franklin L1	1	18	45.30769231
Franklin L1	2	18	46.5
Franklin L1	3	18	52.18867925
Franklin L1	6	18	40.26923077
Franklin L1	5	18	49.30769231
Franklin L1	7	19	33.65384615
Franklin L1	4	19	41.62745098
Franklin L1	1	19	38.65384615
Franklin L1	2	19	37.59615385
Franklin L1	3	19	40.8490566
Franklin L1	6	19	38.67307692
Franklin L1	5	19	42.75
Franklin L1	7	2	19.25
Franklin L1	4	2	24.375
Franklin L1	1	2	21.94230769
Franklin L1	2	2	22.89795918
Franklin L1	3	2	26.125
Franklin L1	6	2	21.74
