day	hour	value
1	1	20.95833333
1	10	36.04615385
1	11	34.53125
1	12	32.28358209
1	13	32
1	14	31.31884058
1	15	30.41428571
1	16	29.8028169
1	17	28.3943662
1	18	29.42253521
1	19	29.09859155
1	2	19.51388889
1	20	28
1	21	27.95774648
1	22	26.95774648
1	23	26.12676056
1	24	25.6056338
1	3	18.69444444
1	4	19.69444444
1	5	22.27777778
1	6	26.97222222
1	7	31.08333333
1	8	33.91666667
1	9	36.61428571
2	1	21.35211268
2	10	36.68115942
2	11	33.34285714
2	12	31.86764706
2	13	32.71428571
2	14	32.17142857
2	15	31.85915493
2	16	30.84507042
2	17	29.21126761
2	18	28.83098592
2	19	28.92957746
2	2	20.25352113
2	20	27.5915493
2	21	26.84507042
2	22	26.35211268
2	23	24.47887324
2	24	23.56338028
2	3	19.76056338
2	4	20.53521127
2	5	23.32394366
2	6	27.87323944
2	7	33.69014085
2	8	36.3943662
2	9	36.77142857
3	1	22.7260274
3	10	40.93055556
3	11	38.2173913
3	12	37.73239437
3	13	36.74324324
3	14	34.56
3	15	34.04
3	16	32.52
3	17	32.32
3	18	32
3	19	31.58666667
3	2	21.28767123
3	20	31.10666667
3	21	29.33333333
3	22	29.56756757
3	23	28.87837838
3	24	26.93243243
3	3	21.16438356
3	4	22.02739726
3	5	25.21917808
3	6	30.16438356
3	7	35.52054795
3	8	38.76712329
3	9	41
4	1	25.83783784
4	10	36.78378378
4	11	33.45833333
4	12	31.36111111
4	13	32.61643836
4	14	30.63013699
4	15	29.09459459
4	16	28.47297297
4	17	29.14864865
4	18	28.98648649
4	19	29.05405405
4	2	23.41333333
4	20	28.74324324
4	21	28
4	22	28.77027027
4	23	26.82432432
4	24	25.74324324
4	3	23.04
4	4	22.76
4	5	25.38666667
4	6	29.22972973
4	7	33.87837838
4	8	37.89333333
4	9	39.97297297
5	1	25.81081081
5	10	40.04225352
5	11	38.23943662
5	12	35.375
5	13	33.48611111
5	14	33.06944444
5	15	31.91666667
5	16	31.59722222
5	17	30.95833333
5	18	31.875
5	19	32.30555556
5	2	24.18918919
5	20	31.80555556
5	21	31.13888889
5	22	30.23943662
5	23	28.56338028
5	24	28.74647887
5	3	23.82432432
5	4	24.17567568
5	5	27.21621622
5	6	33.15068493
5	7	36.5890411
5	8	39.63513514
5	9	40.08108108
6	1	25.88571429
6	10	27.74285714
6	11	28.2
6	12	27.64285714
6	13	27.3943662
6	14	27.04225352
6	15	27.57746479
6	16	27.4084507
6	17	27.23943662
6	18	27.85915493
6	19	29.9
6	2	24.74647887
6	20	27.71428571
6	21	26.29577465
6	22	26.50704225
6	23	25.6056338
6	24	25.14084507
6	3	23.22535211
6	4	22.74285714
6	5	23.38028169
6	6	25.1971831
6	7	26.36619718
6	8	26.69014085
6	9	27.64788732
7	1	24.28169014
7	10	25.83333333
7	11	25.29577465
7	12	25.01408451
7	13	25.04166667
7	14	23.81944444
7	15	23.27777778
7	16	22.86111111
7	17	23.38888889
7	18	24.61111111
7	19	26.08333333
7	2	22.91549296
7	20	25.98591549
7	21	24.33802817
7	22	23.12676056
7	23	22.45833333
7	24	20.23611111
7	3	21.87323944
7	4	22.22535211
7	5	22.57746479
7	6	23.54929577
7	7	24.63888889
7	8	25.34722222
7	9	25.93055556
