day	hour	value
1	1	18.92753623
1	10	26.55882353
1	11	26.27941176
1	12	25.40909091
1	13	23.98484848
1	14	23.39705882
1	15	22.59701493
1	16	21.89552239
1	17	20.62121212
1	18	20.56716418
1	19	21.94117647
1	2	17.97101449
1	20	23.2173913
1	21	23.54285714
1	22	23.64285714
1	23	23.81428571
1	24	23.22857143
1	3	17.62318841
1	4	18.31884058
1	5	19.17391304
1	6	20.94202899
1	7	23.23188406
1	8	25.73913043
1	9	26.79411765
2	1	21.22535211
2	10	27.97183099
2	11	27.60869565
2	12	24.02941176
2	13	22.66176471
2	14	22.68571429
2	15	22.32857143
2	16	21.62318841
2	17	20.20289855
2	18	20.61428571
2	19	21.65714286
2	2	20.05633803
2	20	22.95714286
2	21	23.8028169
2	22	23.35211268
2	23	21.73239437
2	24	20.8028169
2	3	19.75714286
2	4	20.05714286
2	5	20.45714286
2	6	21.78873239
2	7	23.88405797
2	8	26.01408451
2	9	27.36619718
3	1	21.28767123
3	10	31.15942029
3	11	30.53623188
3	12	28.45714286
3	13	27.20289855
3	14	26.1884058
3	15	25.3
3	16	24.64285714
3	17	23.57746479
3	18	24.07042254
3	19	24.93055556
3	2	20.34246575
3	20	26.35616438
3	21	26.28767123
3	22	25.38356164
3	23	24.60273973
3	24	25.13513514
3	3	20.52777778
3	4	20.23287671
3	5	21.24657534
3	6	22.16438356
3	7	24.32876712
3	8	27.61643836
3	9	29.56944444
4	1	23.89333333
4	10	29.78873239
4	11	27.76056338
4	12	25.02898551
4	13	22.72857143
4	14	22.10144928
4	15	21.54166667
4	16	21.54285714
4	17	21.61111111
4	18	21.77777778
4	19	23.66216216
4	2	22.64
4	20	25.21621622
4	21	25.60273973
4	22	24.8630137
4	23	23.78082192
4	24	23.36986301
4	3	22.7027027
4	4	22.25333333
4	5	22.42666667
4	6	23.18666667
4	7	25.01333333
4	8	28.2
4	9	29.75675676
5	1	25.14084507
5	10	30.47142857
5	11	29.05970149
5	12	27.25
5	13	25.8
5	14	24.66197183
5	15	23.78873239
5	16	22.20833333
5	17	21
5	18	21.9
5	19	23.95833333
5	2	24.56338028
5	20	26.04166667
5	21	28.36111111
5	22	27.55555556
5	23	26.78571429
5	24	25.52857143
5	3	23.92957746
5	4	23.38028169
5	5	23.4
5	6	24.58571429
5	7	27.65714286
5	8	30.29166667
5	9	31.06944444
6	1	23.76388889
6	10	23.40277778
6	11	22.09722222
6	12	21.51388889
6	13	21.20833333
6	14	19.88888889
6	15	19.45714286
6	16	20.07142857
6	17	19.05633803
6	18	19.91549296
6	19	21.22222222
6	2	22.94444444
6	20	23.67142857
6	21	24.76056338
6	22	24.625
6	23	23.31944444
6	24	22.15277778
6	3	22.05555556
6	4	21.375
6	5	21.16666667
6	6	21.23611111
6	7	21.90277778
6	8	22.30555556
6	9	22.61111111
7	1	22.15492958
7	10	21.30985915
7	11	21.2173913
7	12	21.07462687
7	13	20.97142857
7	14	20.18571429
7	15	18.85714286
7	16	18.25373134
7	17	18.24242424
7	18	19.17142857
7	19	20.8
7	2	21.08333333
7	20	22.44285714
7	21	22.55072464
7	22	22.24285714
7	23	20.82608696
7	24	19.11594203
7	3	19.81944444
7	4	19.38888889
7	5	19.41666667
7	6	19.88888889
7	7	20.23611111
7	8	20.93055556
7	9	21.54166667
