day	hour	value
1	1	19.8030303
1	10	26.78787879
1	11	25.03030303
1	12	22.25
1	13	21.14285714
1	14	21.07042254
1	15	20.01408451
1	16	19.05633803
1	17	19.38571429
1	18	20.17142857
1	19	21.44285714
1	2	19.01515152
1	20	23.08571429
1	21	24.18571429
1	22	23.95714286
1	23	23.25352113
1	24	22.8028169
1	3	19.31818182
1	4	18.6969697
1	5	19.57575758
1	6	21.03030303
1	7	24.18181818
1	8	27.37878788
1	9	27.56060606
2	1	21.45714286
2	10	27.46376812
2	11	25.1884058
2	12	22.92753623
2	13	20.94285714
2	14	21.97101449
2	15	21.62318841
2	16	20.31884058
2	17	20.17391304
2	18	21.02898551
2	19	22.27941176
2	2	20.18571429
2	20	22.72058824
2	21	22.44117647
2	22	22.69117647
2	23	22.36764706
2	24	22.57352941
2	3	20.18571429
2	4	20.64285714
2	5	21.71428571
2	6	23.85714286
2	7	26.55714286
2	8	29.5
2	9	28.7
3	1	21.76388889
3	10	30.20289855
3	11	28.15942029
3	12	26.27142857
3	13	25.76056338
3	14	25.23943662
3	15	23.45070423
3	16	22.85915493
3	17	23.12676056
3	18	24.1971831
3	19	25.47142857
3	2	20.875
3	20	26.35714286
3	21	27.08695652
3	22	25.77941176
3	23	25.60869565
3	24	24.17647059
3	3	20.65277778
3	4	21.20833333
3	5	22.16666667
3	6	24.58333333
3	7	27.90277778
3	8	30.18571429
3	9	30
4	1	22.85507246
4	10	28.86956522
4	11	25.23943662
4	12	22.21428571
4	13	20.97142857
4	14	20.54285714
4	15	19.57746479
4	16	19.66666667
4	17	20.51388889
4	18	21.76056338
4	19	22.47887324
4	2	21.58571429
4	20	24.375
4	21	23.70833333
4	22	23.75342466
4	23	23.35616438
4	24	21.93150685
4	3	21.47142857
4	4	21.41428571
4	5	22.5
4	6	24.52857143
4	7	27.7
4	8	29.75362319
4	9	31.22058824
5	1	23.74647887
5	10	29.43076923
5	11	28.65079365
5	12	26.25373134
5	13	24.4057971
5	14	22.64285714
5	15	22.47887324
5	16	21.6056338
5	17	21.05633803
5	18	22.25352113
5	19	24.26760563
5	2	22.90140845
5	20	25.95714286
5	21	27
5	22	26.50724638
5	23	25.66666667
5	24	25.46376812
5	3	22.30985915
5	4	23.77464789
5	5	24.5915493
5	6	26.74647887
5	7	30.70422535
5	8	31.62318841
5	9	30.08571429
6	1	23.37142857
6	10	22.39393939
6	11	21.57575758
6	12	20.24242424
6	13	19.32835821
6	14	18.92753623
6	15	18.71014493
6	16	18.85507246
6	17	18.23188406
6	18	18.5942029
6	19	21.34782609
6	2	23.05714286
6	20	22.94202899
6	21	23.47826087
6	22	23.23188406
6	23	23.2173913
6	24	21.88405797
6	3	23.38571429
6	4	22.37142857
6	5	22.58571429
6	6	23.87142857
6	7	24.17142857
6	8	24.3
6	9	24.11594203
7	1	20.79710145
7	10	20.36231884
7	11	20.54411765
7	12	19.68656716
7	13	19.42647059
7	14	17.72058824
7	15	17.66176471
7	16	17.07352941
7	17	17.70588235
7	18	18.52941176
7	19	20.71641791
7	2	20.5942029
7	20	21.8358209
7	21	22.25757576
7	22	21.25373134
7	23	18.97014925
7	24	18.92537313
7	3	20.07246377
7	4	19.94202899
7	5	20.51470588
7	6	20.95652174
7	7	22.04411765
7	8	22.43478261
7	9	21.68115942
