day	hour	value
1	1	22.01408451
1	10	29.31428571
1	11	27.39130435
1	12	25.44117647
1	13	23.50746269
1	14	23.43939394
1	15	22.1641791
1	16	21.88235294
1	17	21.53623188
1	18	21.1884058
1	19	22.05797101
1	2	20.54929577
1	20	23.65217391
1	21	25.10144928
1	22	25.57971014
1	23	25.47826087
1	24	25.31884058
1	3	19.90140845
1	4	19.9
1	5	20.47142857
1	6	22.32857143
1	7	25.84285714
1	8	28.32857143
1	9	29.47142857
2	1	22.28985507
2	10	31.68656716
2	11	28.64179104
2	12	24.44117647
2	13	23.32307692
2	14	22.84615385
2	15	21.94202899
2	16	22.21428571
2	17	21.98591549
2	18	22.43478261
2	19	22.63768116
2	2	21.01428571
2	20	23.65714286
2	21	24.26760563
2	22	24.16901408
2	23	23.82857143
2	24	22.97183099
2	3	20.82608696
2	4	21.11428571
2	5	21.45714286
2	6	23.47826087
2	7	25.8
2	8	29.02857143
2	9	32.46376812
3	1	23.20833333
3	10	32.31884058
3	11	31.546875
3	12	28.95454545
3	13	27.69117647
3	14	27.23880597
3	15	26.6
3	16	25.26760563
3	17	24.54166667
3	18	24.56338028
3	19	25.43055556
3	2	22.34722222
3	20	26.36986301
3	21	27.53424658
3	22	28
3	23	28.11111111
3	24	25.8630137
3	3	21.90277778
3	4	22.86111111
3	5	23.88888889
3	6	24.43055556
3	7	26.52777778
3	8	29.43055556
3	9	31.72857143
4	1	25.43661972
4	10	32.39130435
4	11	29.03076923
4	12	25.25373134
4	13	22.91176471
4	14	22.04347826
4	15	21.52857143
4	16	21.02941176
4	17	20.84507042
4	18	21.10958904
4	19	22.16666667
4	2	24.44444444
4	20	24.11111111
4	21	25.35616438
4	22	25.71232877
4	23	25.32876712
4	24	25.06849315
4	3	24
4	4	24.47222222
4	5	24.05555556
4	6	25.18309859
4	7	28.09589041
4	8	31.01388889
4	9	33.15277778
5	1	26.02777778
5	10	31.92957746
5	11	29.71428571
5	12	26.80882353
5	13	24.6119403
5	14	23.64285714
5	15	22.875
5	16	22.375
5	17	22.375
5	18	22.65277778
5	19	23.88888889
5	2	25.68055556
5	20	26.11111111
5	21	28.04166667
5	22	28.74647887
5	23	28.45070423
5	24	27.5915493
5	3	24.81944444
5	4	24.34722222
5	5	25.84285714
5	6	27.06944444
5	7	28.69444444
5	8	31.51388889
5	9	32.73611111
6	1	24.77777778
6	10	24.55882353
6	11	23.20588235
6	12	22
6	13	20.88059701
6	14	19.39130435
6	15	19.05714286
6	16	19.54285714
6	17	19.94285714
6	18	20.02857143
6	19	21.55714286
6	2	24.45833333
6	20	24.08571429
6	21	25.47826087
6	22	25.18571429
6	23	24.66197183
6	24	24.8028169
6	3	23.625
6	4	23.02777778
6	5	22.93055556
6	6	23.70422535
6	7	24.32394366
6	8	24.91549296
6	9	25.02898551
7	1	22.88571429
7	10	21.46376812
7	11	21.30434783
7	12	20.35714286
7	13	20.12857143
7	14	19.51428571
7	15	18.52173913
7	16	17.87142857
7	17	17.98571429
7	18	18.84285714
7	19	20.3
7	2	22.4
7	20	22.48571429
7	21	23.32857143
7	22	23.04225352
7	23	21.88732394
7	24	20.02857143
7	3	21.45070423
7	4	21.67605634
7	5	21.25714286
7	6	21.11428571
7	7	22.52173913
7	8	23.67647059
7	9	22.36231884
